Date;Price;Open;High;Low;Vol.;Change %
04/15/2020;1,740.20;1,758.10;1,759.80;1,731.60;186.70K;-1.62%
04/16/2020;1,731.70;1,743.50;1,768.00;1,722.60;204.23K;-0.49%
04/17/2020;1,698.80;1,738.50;1,738.80;1,691.20;227.07K;-1.90%
04/20/2020;1,711.20;1,693.00;1,718.40;1,685.00;186.91K;0.73%
04/21/2020;1,687.80;1,713.30;1,718.00;1,666.20;248.63K;-1.37%
04/22/2020;1,738.30;1,703.10;1,742.40;1,695.40;193.73K;2.99%
04/23/2020;1,745.40;1,736.50;1,764.20;1,730.60;201.88K;0.41%
04/24/2020;1,735.60;1,753.00;1,760.20;1,725.40;180.24K;-0.56%
04/27/2020;1,723.80;1,745.00;1,745.80;1,720.00;146.64K;-0.68%
04/28/2020;1,722.20;1,724.40;1,731.90;1,704.10;171.34K;-0.09%
04/29/2020;1,713.40;1,724.80;1,733.50;1,708.20;159.60K;-0.51%
04/30/2020;1,694.20;1,729.60;1,737.00;1,687.50;234.53K;-1.12%
05/01/2020;1,700.90;1,693.50;1,714.40;1,676.00;168.02K;0.40%
05/04/2020;1,713.30;1,711.20;1,726.00;1,700.30;148.73K;0.73%
05/05/2020;1,710.60;1,711.00;1,717.80;1,695.40;184.73K;-0.16%
05/06/2020;1,688.50;1,714.10;1,716.60;1,683.00;203.37K;-1.29%
05/07/2020;1,725.80;1,686.00;1,733.20;1,683.90;250.70K;2.21%
05/08/2020;1,713.90;1,727.20;1,735.50;1,703.10;232.81K;-0.69%
05/11/2020;1,698.00;1,706.00;1,713.80;1,692.10;202.17K;-0.93%
05/12/2020;1,706.80;1,700.00;1,716.70;1,693.50;198.07K;0.52%
05/13/2020;1,716.40;1,705.00;1,726.50;1,701.60;211.61K;0.56%
05/14/2020;1,740.90;1,723.10;1,746.50;1,716.00;212.91K;1.43%
05/15/2020;1,756.30;1,738.50;1,761.20;1,736.80;200.18K;0.88%
05/18/2020;1,734.40;1,757.50;1,775.80;1,729.30;271.47K;-1.25%
05/19/2020;1,745.60;1,734.80;1,751.60;1,727.20;185.26K;0.65%
05/20/2020;1,752.10;1,749.20;1,757.60;1,744.00;184.46K;0.37%
05/21/2020;1,721.90;1,751.70;1,751.70;1,715.30;238.74K;-1.72%
05/22/2020;1,735.50;1,726.00;1,742.00;1,722.50;196.82K;0.79%
05/25/2020;1,705.60;1,734.80;1,737.20;1,700.00;313.17K;-1.72%
05/26/2020;1,705.60;1,730.20;1,737.20;1,700.00;313.17K;0.00%
05/27/2020;1,726.80;1,703.10;1,713.20;1,684.20;158.95K;1.24%
05/28/2020;1,728.30;1,725.00;1,743.70;1,720.00;164.82K;0.09%
05/29/2020;1,751.70;1,732.70;1,754.50;1,725.30;150.11K;1.35%
06/01/2020;1,750.30;1,749.80;1,761.00;1,737.60;146.13K;-0.08%
06/02/2020;1,734.00;1,750.30;1,757.00;1,728.00;175.35K;-0.93%
06/03/2020;1,704.80;1,733.70;1,738.90;1,690.30;256.52K;-1.68%
06/04/2020;1,727.40;1,702.80;1,729.00;1,698.90;198.72K;1.33%
06/05/2020;1,683.00;1,720.80;1,723.20;1,671.70;273.68K;-2.57%
06/08/2020;1,705.10;1,686.70;1,707.60;1,680.70;154.77K;1.31%
06/09/2020;1,721.90;1,703.90;1,729.40;1,697.60;182.91K;0.99%
06/10/2020;1,720.70;1,718.90;1,749.40;1,714.10;198.76K;-0.07%
06/11/2020;1,739.80;1,746.60;1,754.90;1,727.50;205.35K;1.11%
06/12/2020;1,737.30;1,733.60;1,753.00;1,728.20;151.40K;-0.14%
06/15/2020;1,727.20;1,740.70;1,743.80;1,706.20;200.23K;-0.58%
06/16/2020;1,736.50;1,732.30;1,741.30;1,721.80;182.42K;0.54%
06/17/2020;1,735.60;1,735.30;1,739.30;1,717.30;140.07K;-0.05%
06/18/2020;1,731.10;1,735.50;1,749.20;1,722.70;155.91K;-0.26%
06/19/2020;1,753.00;1,729.80;1,760.90;1,728.30;181.15K;1.27%
06/22/2020;1,766.40;1,765.80;1,779.00;1,753.50;228.68K;0.76%
06/23/2020;1,782.00;1,764.90;1,786.80;1,758.30;194.68K;0.88%
06/24/2020;1,775.10;1,784.40;1,796.10;1,770.60;239.53K;-0.39%
06/25/2020;1,770.60;1,772.30;1,779.60;1,764.10;152.20K;-0.25%
06/26/2020;1,780.30;1,774.80;1,786.20;1,754.00;201.23K;0.55%
06/29/2020;1,781.20;1,789.20;1,790.40;1,776.50;130.51K;0.05%
06/30/2020;1,800.50;1,784.20;1,804.00;1,774.80;199.42K;1.08%
07/01/2020;1,779.90;1,798.90;1,807.70;1,767.90;263.25K;-1.14%
07/02/2020;1,790.00;1,779.00;1,791.70;1,766.30;186.31K;0.57%
07/03/2020;1,793.50;1,787.90;1,799.00;1,779.20;184.65K;0.20%
07/06/2020;1,793.50;1,787.90;1,799.00;1,779.20;184.65K;0.00%
07/07/2020;1,809.90;1,793.90;1,810.80;1,781.20;221.73K;0.91%
07/08/2020;1,820.60;1,807.90;1,829.80;1,803.80;247.50K;0.59%
07/09/2020;1,803.80;1,818.80;1,825.50;1,799.60;283.37K;-0.92%
07/10/2020;1,801.90;1,808.40;1,817.00;1,796.50;223.83K;-0.11%
07/13/2020;1,814.10;1,803.40;1,818.80;1,802.10;230.40K;0.68%
07/14/2020;1,813.40;1,805.20;1,815.00;1,791.10;253.21K;-0.04%
07/15/2020;1,813.80;1,811.10;1,819.50;1,804.00;183.06K;0.02%
07/16/2020;1,800.30;1,813.10;1,816.20;1,794.10;196.57K;-0.74%
07/17/2020;1,810.00;1,796.90;1,813.90;1,795.20;167.01K;0.54%
07/20/2020;1,817.40;1,812.30;1,823.40;1,806.60;177.74K;0.41%
07/21/2020;1,843.90;1,819.60;1,844.90;1,817.20;271.09K;1.46%
07/22/2020;1,865.10;1,842.80;1,871.80;1,842.10;382.23K;1.15%
07/23/2020;1,890.00;1,871.60;1,897.70;1,863.10;418.75K;1.34%
07/24/2020;1,897.50;1,884.90;1,904.60;1,880.50;300.17K;0.40%
07/27/2020;1,931.00;1,901.20;1,941.90;1,899.00;428.23K;1.77%
07/28/2020;1,944.60;1,937.10;1,974.70;1,900.20;434.45K;0.70%
07/29/2020;1,953.40;1,950.60;1,974.90;1,935.20;209.84K;0.45%
07/30/2020;1,966.80;1,963.40;1,965.10;1,930.00;271.38K;0.69%
07/31/2020;1,985.90;1,973.60;2,005.40;1,971.40;279.32K;0.97%
08/03/2020;1,986.30;1,997.40;2,009.50;1,975.20;178.75K;0.02%
08/04/2020;2,021.00;1,993.50;2,037.70;1,982.60;274.42K;1.75%
08/05/2020;2,049.30;2,037.00;2,070.30;2,027.50;366.38K;1.40%
08/06/2020;2,069.40;2,055.00;2,081.80;2,049.00;312.76K;0.98%
08/07/2020;2,028.00;2,076.40;2,089.20;2,024.80;398.13K;-2.00%
08/10/2020;2,039.70;2,044.80;2,060.80;2,027.80;251.31K;0.58%
08/11/2020;1,946.30;2,038.40;2,040.50;1,911.30;565.00K;-4.58%
08/12/2020;1,949.00;1,921.60;1,961.00;1,874.20;459.84K;0.14%
08/13/2020;1,970.40;1,927.30;1,974.80;1,923.00;349.89K;1.10%
08/14/2020;1,949.80;1,963.80;1,970.00;1,939.10;241.80K;-1.05%
08/17/2020;1,998.70;1,956.40;2,000.80;1,939.10;289.44K;2.51%
08/18/2020;2,013.10;1,993.60;2,024.60;1,985.20;361.48K;0.72%
08/19/2020;1,970.30;2,010.50;2,015.60;1,930.50;443.26K;-2.13%
08/20/2020;1,946.50;1,934.40;1,963.10;1,928.90;383.34K;-1.21%
08/21/2020;1,947.00;1,955.60;1,963.10;1,916.60;355.07K;0.03%
08/24/2020;1,939.20;1,947.90;1,970.30;1,930.80;286.26K;-0.40%
08/25/2020;1,923.10;1,935.90;1,944.10;1,919.10;274.11K;-0.83%
08/26/2020;1,952.50;1,939.00;1,963.40;1,908.40;342.21K;1.53%
08/27/2020;1,932.60;1,963.00;1,987.00;1,914.70;467.17K;-1.02%
08/28/2020;1,974.90;1,937.50;1,983.00;1,928.20;334.10K;2.19%
08/31/2020;1,978.60;1,973.90;1,985.80;1,962.30;245.11K;0.19%
09/01/2020;1,978.90;1,973.70;2,001.20;1,969.20;304.89K;0.02%
09/02/2020;1,944.70;1,976.80;1,980.40;1,938.90;332.59K;-1.73%
09/03/2020;1,937.80;1,948.90;1,956.60;1,927.20;303.03K;-0.35%
09/04/2020;1,934.30;1,938.00;1,956.60;1,921.60;304.74K;-0.18%
09/07/2020;1,943.20;1,938.00;1,948.30;1,911.70;416.01K;0.46%
09/08/2020;1,943.20;1,938.00;1,948.30;1,911.70;416.01K;0.00%
09/09/2020;1,954.90;1,939.40;1,959.70;1,926.30;227.18K;0.60%
09/10/2020;1,964.30;1,955.30;1,975.20;1,948.60;271.48K;0.48%
09/11/2020;1,947.90;1,953.80;1,963.40;1,944.00;205.23K;-0.83%
09/14/2020;1,963.70;1,948.90;1,972.50;1,945.20;200.09K;0.81%
09/15/2020;1,966.20;1,966.20;1,982.40;1,955.60;239.54K;0.13%
09/16/2020;1,970.50;1,961.40;1,983.80;1,957.20;298.39K;0.22%
09/17/2020;1,949.90;1,967.60;1,969.30;1,938.20;273.14K;-1.05%
09/18/2020;1,962.10;1,951.10;1,968.20;1,951.10;174.77K;0.63%
09/21/2020;1,910.60;1,957.30;1,962.90;1,885.40;386.67K;-2.62%
09/22/2020;1,907.60;1,918.10;1,925.50;1,898.90;282.71K;-0.16%
09/23/2020;1,868.40;1,905.10;1,909.90;1,856.00;411.56K;-2.05%
09/24/2020;1,876.90;1,866.90;1,880.90;1,851.00;345.04K;0.45%
09/25/2020;1,866.30;1,872.70;1,879.30;1,854.10;230.86K;-0.56%
09/28/2020;1,882.30;1,862.70;1,888.20;1,851.10;235.92K;0.86%
09/29/2020;1,903.20;1,886.40;1,904.80;1,880.80;217.80K;1.11%
09/30/2020;1,895.50;1,903.20;1,908.20;1,885.80;259.87K;-0.40%
10/01/2020;1,916.30;1,891.20;1,917.90;1,890.00;262.09K;1.10%
10/02/2020;1,907.60;1,911.00;1,923.60;1,895.20;212.73K;-0.45%
10/05/2020;1,920.10;1,910.90;1,924.90;1,891.20;177.59K;0.66%
10/06/2020;1,908.80;1,917.80;1,927.00;1,878.20;219.44K;-0.59%
10/07/2020;1,890.80;1,882.60;1,902.40;1,877.10;188.59K;-0.94%
10/08/2020;1,895.10;1,890.60;1,905.30;1,885.30;185.45K;0.23%
10/09/2020;1,926.20;1,898.40;1,936.80;1,898.00;229.85K;1.64%
10/12/2020;1,928.90;1,935.00;1,939.40;1,923.80;157.21K;0.14%
10/13/2020;1,894.60;1,927.30;1,930.60;1,889.30;267.54K;-1.78%
10/14/2020;1,907.30;1,895.40;1,917.50;1,885.00;188.30K;0.67%
10/15/2020;1,908.90;1,906.00;1,913.20;1,892.70;213.57K;0.08%
10/16/2020;1,906.40;1,912.70;1,918.70;1,901.10;146.91K;-0.13%
10/19/2020;1,911.70;1,903.20;1,923.40;1,900.20;159.85K;0.28%
10/20/2020;1,915.40;1,906.40;1,917.60;1,896.60;163.91K;0.19%
10/21/2020;1,929.50;1,911.60;1,936.00;1,911.60;201.27K;0.74%
10/22/2020;1,904.60;1,927.40;1,929.40;1,894.20;215.58K;-1.29%
10/23/2020;1,905.20;1,906.50;1,917.30;1,895.20;172.96K;0.03%
10/26/2020;1,905.70;1,906.00;1,911.10;1,892.50;166.31K;0.03%
10/27/2020;1,911.90;1,904.40;1,913.80;1,898.70;153.30K;0.33%
10/28/2020;1,879.20;1,909.80;1,912.60;1,869.10;297.09K;-1.71%
10/29/2020;1,868.00;1,877.50;1,885.10;1,859.20;225.16K;-0.60%
10/30/2020;1,879.90;1,867.90;1,890.90;1,863.30;213.17K;0.64%
11/02/2020;1,892.50;1,877.00;1,897.10;1,873.30;164.94K;0.67%
11/03/2020;1,910.40;1,896.40;1,912.20;1,887.60;171.37K;0.95%
11/04/2020;1,896.20;1,910.30;1,917.90;1,881.80;293.95K;-0.74%
11/05/2020;1,946.80;1,903.40;1,954.30;1,902.20;297.51K;2.67%
11/06/2020;1,951.70;1,950.00;1,961.80;1,937.20;246.78K;0.25%
11/09/2020;1,854.40;1,956.00;1,966.10;1,848.00;496.09K;-4.99%
11/10/2020;1,876.40;1,864.10;1,888.90;1,858.90;264.87K;1.19%
11/11/2020;1,861.60;1,876.10;1,882.50;1,853.90;215.17K;-0.79%
11/12/2020;1,873.30;1,863.90;1,883.00;1,860.70;209.93K;0.63%
11/13/2020;1,886.20;1,875.60;1,895.80;1,872.10;162.54K;0.69%
11/16/2020;1,887.80;1,886.60;1,898.00;1,861.50;222.94K;0.08%
11/17/2020;1,885.10;1,888.20;1,892.70;1,876.30;160.88K;-0.14%
11/18/2020;1,873.90;1,879.50;1,884.20;1,860.30;209.00K;-0.59%
11/19/2020;1,861.50;1,872.00;1,872.60;1,850.00;222.35K;-0.66%
11/20/2020;1,872.40;1,864.80;1,879.20;1,859.10;186.17K;0.59%
11/23/2020;1,837.80;1,869.80;1,875.00;1,828.00;319.66K;-1.85%
11/24/2020;1,804.60;1,835.70;1,836.90;1,797.10;367.88K;-1.81%
11/25/2020;1,805.50;1,805.20;1,816.30;1,798.60;205.75K;0.05%
11/26/2020;1,788.10;1,812.10;1,822.60;1,776.50;282.35K;-0.96%
11/27/2020;1,781.90;1,806.10;1,817.00;1,770.70;282.35K;-0.35%
11/30/2020;1,780.90;1,790.80;1,793.30;1,767.20;242.73K;-0.06%
12/01/2020;1,818.90;1,780.30;1,821.10;1,778.40;203.65K;2.13%
12/02/2020;1,830.20;1,819.10;1,835.70;1,810.50;185.32K;0.62%
12/03/2020;1,841.10;1,833.90;1,847.40;1,826.70;180.36K;0.60%
12/04/2020;1,840.00;1,844.70;1,852.70;1,832.00;171.26K;-0.06%
12/07/2020;1,866.00;1,841.10;1,873.00;1,824.80;209.04K;1.41%
12/08/2020;1,874.90;1,866.10;1,879.80;1,863.90;151.79K;0.48%
12/09/2020;1,838.50;1,875.40;1,875.90;1,828.20;219.59K;-1.94%
12/10/2020;1,837.40;1,843.00;1,854.20;1,831.50;164.80K;-0.06%
12/11/2020;1,843.60;1,840.00;1,851.80;1,826.80;153.80K;0.34%
12/14/2020;1,832.10;1,845.00;1,845.60;1,820.00;168.49K;-0.62%
12/15/2020;1,855.30;1,830.50;1,859.30;1,828.50;173.61K;1.27%
12/16/2020;1,859.10;1,857.70;1,870.00;1,848.20;199.68K;0.20%
12/17/2020;1,890.40;1,868.40;1,902.00;1,865.90;219.87K;1.68%
12/18/2020;1,888.90;1,891.30;1,895.70;1,881.90;153.23K;-0.08%
12/21/2020;1,882.80;1,892.90;1,912.00;1,859.00;232.05K;-0.32%
12/22/2020;1,870.30;1,883.00;1,889.40;1,863.70;176.02K;-0.66%
12/23/2020;1,878.10;1,865.60;1,883.70;1,860.90;162.54K;0.42%
12/24/2020;1,883.20;1,877.30;1,887.40;1,873.10;89.41K;0.27%
12/28/2020;1,880.40;1,887.00;1,904.10;1,873.00;196.76K;-0.15%
12/29/2020;1,882.90;1,878.00;1,891.30;1,875.60;149.27K;0.13%
12/30/2020;1,893.40;1,881.80;1,899.00;1,879.50;133.66K;0.56%
12/31/2020;1,895.10;1,899.00;1,904.90;1,889.10;130.63K;0.09%
01/04/2021;1,946.60;1,908.20;1,948.70;1,906.10;273.37K;2.72%
01/05/2021;1,954.40;1,946.00;1,957.00;1,938.40;201.95K;0.40%
01/06/2021;1,908.60;1,952.80;1,962.50;1,902.60;366.61K;-2.34%
01/07/2021;1,913.60;1,921.50;1,929.60;1,907.50;199.98K;0.26%
01/08/2021;1,835.40;1,915.20;1,918.40;1,827.80;443.51K;-4.09%
01/11/2021;1,850.80;1,849.40;1,856.00;1,817.10;268.36K;0.84%
01/12/2021;1,844.20;1,845.40;1,864.00;1,835.80;240.66K;-0.36%
01/13/2021;1,854.90;1,855.00;1,863.00;1,841.60;225.99K;0.58%
01/14/2021;1,851.40;1,845.60;1,857.60;1,826.60;257.66K;-0.19%
01/15/2021;1,829.90;1,847.30;1,856.60;1,822.10;231.11K;-1.16%
01/18/2021;1,840.20;1,828.80;1,845.00;1,800.80;331.59K;0.56%
01/19/2021;1,840.20;1,828.80;1,845.00;1,800.80;331.59K;0.00%
01/20/2021;1,866.50;1,839.90;1,872.00;1,831.10;274.40K;1.43%
01/21/2021;1,865.90;1,871.00;1,874.60;1,857.50;196.94K;-0.03%
01/22/2021;1,856.20;1,870.10;1,870.80;1,836.30;249.72K;-0.52%
01/25/2021;1,855.20;1,855.30;1,867.40;1,846.20;211.98K;-0.05%
01/26/2021;1,850.90;1,854.90;1,860.80;1,847.20;170.26K;-0.23%
01/27/2021;1,844.90;1,849.70;1,851.50;1,828.40;195.54K;-0.32%
01/28/2021;1,841.20;1,843.40;1,862.90;1,831.50;277.59K;-0.20%
01/29/2021;1,850.30;1,845.60;1,878.90;1,841.20;276.17K;0.49%
02/01/2021;1,863.90;1,865.00;1,876.00;1,851.70;242.05K;0.74%
02/02/2021;1,833.40;1,863.60;1,866.30;1,830.40;236.00K;-1.64%
02/03/2021;1,835.10;1,838.50;1,845.90;1,830.10;137.23K;0.09%
02/04/2021;1,791.20;1,834.50;1,835.70;1,784.60;279.62K;-2.39%
02/05/2021;1,813.00;1,794.30;1,816.00;1,792.20;205.76K;1.22%
02/08/2021;1,834.20;1,818.10;1,840.60;1,807.30;177.56K;1.17%
02/09/2021;1,837.50;1,832.40;1,849.50;1,830.30;154.39K;0.18%
02/10/2021;1,842.70;1,838.30;1,856.60;1,834.00;176.44K;0.28%
02/11/2021;1,826.80;1,844.30;1,848.60;1,821.70;147.02K;-0.86%
02/12/2021;1,823.20;1,825.40;1,831.50;1,810.10;171.90K;-0.20%
02/15/2021;1,799.00;1,826.00;1,827.10;1,788.10;355.92K;-1.33%
02/16/2021;1,799.00;1,826.00;1,827.10;1,788.10;355.92K;0.00%
02/17/2021;1,772.80;1,793.10;1,794.20;1,767.90;257.34K;-1.46%
02/18/2021;1,775.00;1,776.00;1,788.80;1,766.60;224.77K;0.12%
02/19/2021;1,777.40;1,774.60;1,790.90;1,759.00;251.78K;0.14%
02/22/2021;1,808.40;1,782.00;1,812.40;1,778.60;221.20K;1.74%
02/23/2021;1,805.90;1,809.30;1,815.20;1,794.50;191.15K;-0.14%
02/24/2021;1,797.90;1,805.00;1,813.00;1,782.20;224.06K;-0.44%
02/25/2021;1,775.40;1,804.90;1,805.00;1,763.90;316.25K;-1.25%
02/26/2021;1,728.80;1,770.90;1,773.80;1,714.90;362.55K;-2.62%
03/01/2021;1,723.00;1,732.80;1,757.40;1,717.20;241.92K;-0.34%
03/02/2021;1,733.60;1,722.80;1,737.80;1,704.60;235.96K;0.62%
03/03/2021;1,715.80;1,736.50;1,739.10;1,699.40;255.65K;-1.03%
03/04/2021;1,700.70;1,708.40;1,721.60;1,687.60;277.45K;-0.88%
03/05/2021;1,698.50;1,695.30;1,705.70;1,683.00;269.33K;-0.13%
03/08/2021;1,678.00;1,701.60;1,712.00;1,673.30;273.91K;-1.21%
03/09/2021;1,716.90;1,679.30;1,718.70;1,676.70;248.95K;2.32%
03/10/2021;1,721.80;1,714.50;1,725.30;1,705.60;226.89K;0.29%
03/11/2021;1,722.60;1,725.00;1,738.00;1,716.80;215.34K;0.05%
03/12/2021;1,719.80;1,720.50;1,728.00;1,696.60;232.21K;-0.16%
03/15/2021;1,729.20;1,726.50;1,733.20;1,719.20;163.05K;0.55%
03/16/2021;1,730.90;1,730.70;1,740.50;1,724.40;173.89K;0.10%
03/17/2021;1,727.10;1,730.00;1,750.60;1,722.00;220.55K;-0.22%
03/18/2021;1,732.50;1,744.00;1,754.20;1,716.60;251.76K;0.31%
03/19/2021;1,741.70;1,733.70;1,746.10;1,727.10;213.28K;0.53%
03/22/2021;1,738.10;1,745.60;1,747.00;1,726.40;196.31K;-0.21%
03/23/2021;1,725.10;1,738.50;1,742.00;1,722.70;226.20K;-0.75%
03/24/2021;1,733.20;1,725.90;1,737.70;1,722.30;186.52K;0.47%
03/25/2021;1,725.10;1,733.20;1,744.80;1,720.30;226.21K;-0.47%
03/26/2021;1,732.30;1,725.50;1,735.50;1,718.80;172.94K;0.42%
03/29/2021;1,714.60;1,731.50;1,732.60;1,703.30;182.75K;-1.02%
03/30/2021;1,686.00;1,713.00;1,714.80;1,678.30;225.87K;-1.67%
03/31/2021;1,715.60;1,685.90;1,716.30;1,677.30;210.77K;1.76%
04/01/2021;1,728.40;1,709.00;1,732.00;1,706.40;170.43K;0.75%
04/05/2021;1,728.80;1,730.00;1,734.40;1,721.60;101.75K;0.02%
04/06/2021;1,743.00;1,729.20;1,746.70;1,728.20;152.60K;0.82%
04/07/2021;1,741.60;1,744.40;1,745.40;1,731.20;122.80K;-0.08%
04/08/2021;1,758.20;1,738.60;1,759.40;1,733.60;144.57K;0.95%
04/09/2021;1,744.80;1,756.50;1,758.20;1,730.80;171.40K;-0.76%
04/12/2021;1,732.70;1,744.50;1,746.20;1,727.00;125.36K;-0.69%
04/13/2021;1,747.60;1,732.20;1,749.50;1,723.20;175.59K;0.86%
04/14/2021;1,736.30;1,746.40;1,750.70;1,732.30;145.26K;-0.65%
04/15/2021;1,766.80;1,736.60;1,770.60;1,734.40;198.14K;1.76%
04/16/2021;1,780.20;1,764.80;1,784.70;1,760.30;173.50K;0.76%
04/19/2021;1,770.60;1,778.80;1,790.40;1,766.60;180.73K;-0.54%
04/20/2021;1,778.40;1,770.50;1,780.80;1,763.50;169.04K;0.44%
04/21/2021;1,793.10;1,779.10;1,798.40;1,776.60;173.97K;0.83%
